date,product,store,sales,lag_1,lag_7,rolling_mean,day_of_week,forecast
2022-01-08,P1,S1,29,21.0,32.0,19.428571428571427,5,29.801128230029647
2022-01-08,P1,S2,28,10.0,29.0,18.571428571428573,5,28.73200214304507
2022-01-08,P2,S1,22,13.0,33.0,16.285714285714285,5,27.842455123255508
2022-01-08,P2,S2,26,20.0,37.0,16.428571428571427,5,28.158923831608817
2022-01-08,P3,S1,27,23.0,28.0,17.714285714285715,5,29.43905470780714
2022-01-08,P3,S2,35,20.0,28.0,17.142857142857142,5,29.653444079375696
2022-01-09,P2,S2,28,26.0,32.0,19.0,6,29.081061498610094
2022-01-09,P3,S1,26,27.0,27.0,19.857142857142858,6,28.67783387931742
2022-01-09,P3,S2,33,35.0,27.0,23.428571428571427,6,31.031561114066623
2022-01-09,P2,S1,31,22.0,27.0,24.714285714285715,6,29.361562117637405
2022-01-09,P1,S1,31,29.0,37.0,26.0,6,29.293036093688983
2022-01-09,P1,S2,21,28.0,33.0,26.714285714285715,6,27.539814348471456
2022-01-10,P1,S1,25,31.0,21.0,28.285714285714285,0,20.00823269659578
2022-01-10,P1,S2,24,21.0,10.0,27.571428571428573,0,20.042649181977485
2022-01-10,P2,S1,15,31.0,11.0,28.142857142857142,0,18.033940942292695
2022-01-10,P2,S2,18,28.0,17.0,27.142857142857142,0,19.33443433855514
2022-01-10,P3,S1,21,26.0,14.0,27.714285714285715,0,19.246027055047044
2022-01-10,P3,S2,24,33.0,21.0,28.285714285714285,0,19.992739657662028
2022-01-11,P3,S2,26,24.0,12.0,27.714285714285715,1,20.031389658383357
2022-01-11,P3,S1,24,21.0,20.0,26.285714285714285,1,19.414554499151244
2022-01-11,P2,S2,14,18.0,18.0,25.857142857142858,1,19.099058107264785
2022-01-11,P1,S1,17,25.0,15.0,25.0,1,19.37051010519778
2022-01-11,P1,S2,19,24.0,12.0,24.428571428571427,1,19.627186549016077
2022-01-11,P2,S1,14,15.0,27.0,22.857142857142858,1,17.63904800346079
2022-01-12,P3,S1,21,24.0,16.0,21.571428571428573,2,19.18446264445937
2022-01-12,P3,S2,27,26.0,18.0,21.857142857142858,2,20.15773633779379
2022-01-12,P2,S2,16,14.0,21.0,20.857142857142858,2,20.527540985562215
2022-01-12,P1,S1,19,17.0,17.0,20.714285714285715,2,20.383513661943237
2022-01-12,P1,S2,25,19.0,20.0,19.857142857142858,2,19.886297187913442
2022-01-12,P2,S1,21,14.0,14.0,18.428571428571427,2,20.112918218504124
2022-01-13,P1,S1,19,19.0,16.0,19.0,3,19.53921905642883
2022-01-13,P1,S2,27,25.0,29.0,19.142857142857142,3,21.72057051568894
2022-01-13,P2,S1,6,21.0,19.0,18.428571428571427,3,19.565011290732937
2022-01-13,P2,S2,24,16.0,14.0,18.714285714285715,3,19.815907012399975
2022-01-13,P3,S1,20,21.0,24.0,19.285714285714285,3,18.767354816248044
2022-01-13,P3,S2,18,27.0,13.0,20.428571428571427,3,19.437600890310907
2022-01-14,P3,S1,27,20.0,23.0,21.285714285714285,4,20.34408112677952
2022-01-14,P2,S2,21,24.0,20.0,22.0,4,19.82583179899201
2022-01-14,P3,S2,17,18.0,20.0,21.0,4,20.53095510114188
2022-01-14,P1,S2,10,27.0,10.0,21.857142857142858,4,16.401111677056132
2022-01-14,P1,S1,20,19.0,21.0,22.285714285714285,4,19.38767984366205
2022-01-14,P2,S1,18,6.0,13.0,20.142857142857142,4,18.86909042788187
2022-01-15,P3,S1,27,27.0,27.0,20.142857142857142,5,28.650450248637735
2022-01-15,P2,S2,31,21.0,26.0,20.285714285714285,5,29.033595584582923
2022-01-15,P3,S2,32,17.0,35.0,19.285714285714285,5,30.789646529494718
2022-01-15,P1,S2,27,10.0,28.0,18.142857142857142,5,27.960974131137295
2022-01-15,P1,S1,25,20.0,29.0,17.142857142857142,5,28.818906432792904
2022-01-15,P2,S1,34,18.0,22.0,17.0,5,31.17175166925565
2022-01-16,P1,S1,30,25.0,31.0,19.714285714285715,6,29.307673482004414
2022-01-16,P1,S2,34,27.0,21.0,19.714285714285715,6,30.93064275419067
2022-01-16,P2,S1,26,34.0,31.0,21.571428571428573,6,29.284127579002757
2022-01-16,P2,S2,28,31.0,28.0,23.571428571428573,6,29.692155176956227
2022-01-16,P3,S1,28,27.0,26.0,26.0,6,29.554583988415867
2022-01-16,P3,S2,22,32.0,33.0,27.714285714285715,6,29.584035239989152
2022-01-17,P3,S1,12,28.0,21.0,29.142857142857142,0,19.841531787780344
2022-01-17,P2,S2,18,28.0,18.0,29.571428571428573,0,19.917191080573094
2022-01-17,P3,S2,17,22.0,24.0,28.857142857142858,0,20.25781393501636
2022-01-17,P1,S2,21,34.0,24.0,28.857142857142858,0,20.490861967614467
2022-01-17,P2,S1,20,26.0,15.0,28.142857142857142,0,18.97356395413346
2022-01-17,P1,S1,21,30.0,25.0,28.571428571428573,0,19.96660280887626
2022-01-18,P1,S1,18,21.0,17.0,27.0,1,19.689958544453624
2022-01-18,P1,S2,15,21.0,19.0,26.0,1,19.406767399298513
2022-01-18,P2,S1,19,20.0,14.0,24.857142857142858,1,19.478951933387687
2022-01-18,P2,S2,22,18.0,14.0,24.285714285714285,1,19.907743571308945
2022-01-18,P3,S1,29,12.0,24.0,21.142857142857142,1,22.366746468095776
2022-01-18,P3,S2,20,17.0,26.0,19.857142857142858,1,19.67502069881026
2022-01-19,P1,S1,21,18.0,19.0,18.142857142857142,2,19.933945200220943
2022-01-19,P1,S2,19,15.0,25.0,17.285714285714285,2,18.830462519743293
2022-01-19,P2,S1,10,19.0,21.0,17.0,2,18.451397457587326
2022-01-19,P2,S2,19,22.0,16.0,17.285714285714285,2,19.744256929824836
2022-01-19,P3,S1,20,29.0,21.0,18.857142857142858,2,19.63230003766778
2022-01-19,P3,S2,32,20.0,27.0,20.0,2,20.77484239250787
2022-01-20,P3,S2,23,32.0,18.0,22.142857142857142,3,20.67716198681652
2022-01-20,P2,S2,14,19.0,24.0,22.285714285714285,3,18.695905101672555
2022-01-20,P3,S1,25,20.0,20.0,23.0,3,19.25986304959756
2022-01-20,P2,S1,19,10.0,6.0,21.714285714285715,3,17.24447189760464
2022-01-20,P1,S1,19,21.0,19.0,21.571428571428573,3,20.095756414471285
2022-01-20,P1,S2,21,19.0,27.0,20.142857142857142,3,19.990834927642865
2022-01-21,P1,S1,23,19.0,20.0,20.0,4,20.43777866241017
2022-01-21,P1,S2,15,21.0,10.0,18.428571428571427,4,17.500002865186083
2022-01-21,P2,S1,27,19.0,18.0,18.428571428571427,4,20.07868361464788
2022-01-21,P2,S2,12,14.0,21.0,17.571428571428573,4,19.047428740038168
2022-01-21,P3,S1,22,25.0,27.0,19.714285714285715,4,21.02642927648179
2022-01-21,P3,S2,30,23.0,17.0,20.0,4,20.60320321228833
2022-01-22,P1,S1,25,23.0,25.0,20.571428571428573,5,28.824679434333678
2022-01-22,P1,S2,27,15.0,27.0,20.0,5,29.55544039075041
2022-01-22,P2,S1,30,27.0,34.0,20.857142857142858,5,28.66507998890556
2022-01-22,P2,S2,27,12.0,31.0,19.857142857142858,5,28.42135285163326
2022-01-22,P3,S1,22,22.0,27.0,21.0,5,28.576903170633678
2022-01-22,P3,S2,30,30.0,32.0,21.714285714285715,5,29.14389054908447
2022-01-23,P3,S2,28,30.0,22.0,22.714285714285715,6,29.31757991296014
2022-01-23,P3,S1,26,22.0,28.0,22.571428571428573,6,28.76854347795545
2022-01-23,P2,S2,37,27.0,28.0,24.285714285714285,6,29.050886936509723
2022-01-23,P1,S2,32,27.0,34.0,24.285714285714285,6,29.031717375001094
2022-01-23,P1,S1,24,25.0,30.0,26.142857142857142,6,29.61329193888217
2022-01-23,P2,S1,25,30.0,26.0,27.285714285714285,6,28.58812099847197
2022-01-24,P1,S1,24,24.0,21.0,26.428571428571427,0,19.33845279953924
2022-01-24,P1,S2,13,32.0,21.0,26.714285714285715,0,19.43150851566152
2022-01-24,P2,S1,21,25.0,20.0,27.142857142857142,0,19.583334304625353
2022-01-24,P2,S2,26,37.0,18.0,28.571428571428573,0,20.09568202628096
2022-01-24,P3,S1,11,26.0,12.0,28.428571428571427,0,18.558580939809367
2022-01-24,P3,S2,20,28.0,17.0,28.857142857142858,0,19.724805098012226
2022-01-25,P3,S2,21,20.0,20.0,27.428571428571427,1,19.767487549841725
2022-01-25,P2,S2,13,26.0,22.0,27.714285714285715,1,19.725864865678137
2022-01-25,P3,S1,22,11.0,29.0,24.714285714285715,1,19.218369272395766
2022-01-25,P1,S2,23,13.0,15.0,23.0,1,20.206728679813356
2022-01-25,P1,S1,21,24.0,18.0,21.142857142857142,1,21.036900341069362
2022-01-25,P2,S1,13,21.0,19.0,20.428571428571427,1,20.24370056815147
2022-01-26,P1,S1,21,21.0,21.0,19.428571428571427,2,19.755716977955604
2022-01-26,P1,S2,21,23.0,19.0,19.857142857142858,2,20.03957221105615
2022-01-26,P2,S1,16,13.0,10.0,18.0,2,17.777853423370114
2022-01-26,P2,S2,21,13.0,19.0,18.285714285714285,2,19.165687688389333
2022-01-26,P3,S1,21,22.0,20.0,19.571428571428573,2,19.668525416722296
2022-01-26,P3,S2,16,21.0,32.0,19.142857142857142,2,18.957172407495932
2022-01-27,P3,S1,15,21.0,25.0,19.142857142857142,3,18.299888103567724
2022-01-27,P1,S1,29,21.0,19.0,19.142857142857142,3,20.32574171115299
2022-01-27,P1,S2,22,21.0,21.0,18.857142857142858,3,19.76418054925181
2022-01-27,P2,S1,14,16.0,19.0,19.285714285714285,3,18.998794481507804
2022-01-27,P2,S2,23,21.0,14.0,20.428571428571427,3,19.75172805309851
2022-01-27,P3,S2,23,16.0,23.0,19.571428571428573,3,19.833304864001825
2022-01-28,P3,S2,29,23.0,30.0,19.857142857142858,4,22.471850704691988
2022-01-28,P2,S2,22,23.0,12.0,20.142857142857142,4,19.867044343871363
2022-01-28,P3,S1,24,15.0,22.0,19.285714285714285,4,19.259233560821706
2022-01-28,P1,S2,15,22.0,15.0,19.428571428571427,4,19.664343876626912
2022-01-28,P2,S1,24,14.0,27.0,19.142857142857142,4,19.416780051174246
2022-01-28,P1,S1,25,29.0,23.0,20.285714285714285,4,21.06211202767615
2022-01-29,P3,S1,29,24.0,22.0,21.428571428571427,5,29.229722997437516
2022-01-29,P2,S2,25,22.0,27.0,21.285714285714285,5,28.56713645347586
2022-01-29,P3,S2,31,29.0,30.0,22.142857142857142,5,29.216632931626126
2022-01-29,P1,S2,26,15.0,27.0,22.142857142857142,5,29.179264730295614
2022-01-29,P1,S1,28,25.0,25.0,22.571428571428573,5,28.720561912286026
2022-01-29,P2,S1,25,24.0,30.0,24.0,5,29.089861946222022
2022-01-30,P1,S1,31,28.0,24.0,23.857142857142858,6,29.146507481979587
2022-01-30,P1,S2,34,26.0,32.0,24.142857142857142,6,28.891077370544767
2022-01-30,P2,S1,30,25.0,25.0,24.571428571428573,6,29.853622123639397
2022-01-30,P2,S2,37,25.0,37.0,24.0,6,30.404495673550336
2022-01-30,P3,S1,28,29.0,26.0,26.0,6,30.099208430361774
2022-01-30,P3,S2,43,31.0,28.0,26.857142857142858,6,30.73726965542347
2022-01-31,P3,S2,23,43.0,20.0,29.571428571428573,0,20.066962552806594
2022-01-31,P3,S1,18,28.0,11.0,29.571428571428573,0,18.966284688161565
2022-01-31,P2,S2,22,37.0,26.0,31.142857142857142,0,20.430773989814078
2022-01-31,P1,S2,15,34.0,13.0,32.42857142857143,0,19.32715000465354
2022-01-31,P1,S1,23,31.0,24.0,33.285714285714285,0,20.19858824109428
2022-01-31,P2,S1,14,30.0,21.0,33.42857142857143,0,18.793063291719484
2022-02-01,P1,S1,22,23.0,21.0,32.285714285714285,1,20.213413939672197
2022-02-01,P1,S2,19,15.0,23.0,28.285714285714285,1,19.559728228628394
2022-02-01,P2,S1,15,14.0,13.0,26.285714285714285,1,19.806350236718714
2022-02-01,P2,S2,12,22.0,13.0,24.142857142857142,1,19.327662883723832
2022-02-01,P3,S1,17,18.0,22.0,21.857142857142858,1,19.39748938459635
2022-02-01,P3,S2,24,23.0,21.0,20.714285714285715,1,20.04894318235485
2022-02-02,P3,S1,15,17.0,21.0,18.857142857142858,2,19.806854491364646
2022-02-02,P1,S1,21,22.0,21.0,18.714285714285715,2,19.96717313545477
2022-02-02,P1,S2,13,19.0,21.0,19.285714285714285,2,19.14094021040442
2022-02-02,P2,S1,20,15.0,16.0,19.428571428571427,2,19.579016801785897
2022-02-02,P2,S2,21,12.0,21.0,18.0,2,19.589194032915074
2022-02-02,P3,S2,20,24.0,16.0,18.857142857142858,2,19.42897046337024
2022-02-03,P3,S2,25,20.0,23.0,18.428571428571427,3,19.800294854564328
2022-02-03,P2,S2,22,21.0,23.0,19.0,3,20.220910228273475
2022-02-03,P3,S1,25,15.0,15.0,18.0,3,19.091585105251205
2022-02-03,P1,S2,14,13.0,22.0,17.142857142857142,3,18.976333789101407
2022-02-03,P1,S1,20,21.0,29.0,18.0,3,19.370963175137582
2022-02-03,P2,S1,21,20.0,14.0,19.142857142857142,3,19.765594526950274
2022-02-04,P1,S1,13,20.0,25.0,18.571428571428573,4,17.73513906845108
2022-02-04,P1,S2,15,14.0,15.0,17.714285714285715,4,19.11670827120556
2022-02-04,P2,S1,22,21.0,24.0,17.714285714285715,4,19.62094972689152
2022-02-04,P2,S2,22,22.0,22.0,18.714285714285715,4,20.084242580432424
2022-02-04,P3,S1,22,25.0,24.0,20.428571428571427,4,20.27265367085385
2022-02-04,P3,S2,39,25.0,29.0,21.0,4,26.23749115859515
2022-02-05,P1,S1,32,13.0,28.0,20.0,5,30.404395741843047
2022-02-05,P1,S2,35,15.0,26.0,19.285714285714285,5,30.025419588921608
2022-02-05,P2,S1,34,22.0,25.0,20.428571428571427,5,28.839332168215936
2022-02-05,P2,S2,33,22.0,25.0,20.571428571428573,5,29.009837662721107
2022-02-05,P3,S1,28,22.0,29.0,20.571428571428573,5,28.729210284169298
2022-02-05,P3,S2,33,39.0,31.0,22.571428571428573,5,30.493390935318512
2022-02-06,P2,S2,30,33.0,37.0,23.714285714285715,6,28.916899296492332
2022-02-06,P3,S1,41,28.0,28.0,25.857142857142858,6,30.765972141439338
